-12.116273880004883,-1.6092325448989868
-13.232678413391113,-1.7405985593795776
-13.955057144165039,-2.0033271312713623
-14.152070045471191,-2.79152250289917
-14.480424880981445,-3.7767674922943115
-14.808777809143066,-5.418841361999512
-15.334146499633789,-7.257960796356201
-15.531159400939941,-8.505937576293945
-15.662500381469727,-9.753911018371582
-14.677435874938965,-10.279374122619629
-13.42969036102295,-10.148008346557617
-12.96999454498291,-9.35981273651123
-12.641641616821289,-8.505937576293945
-12.44462776184082,-7.323643684387207
-12.2476167678833,-6.929545879364014
-12.181944847106934,-5.681569576263428
-11.85359001159668,-4.433597087860107
-11.656577110290527,-3.382669448852539
-11.590906143188477,-2.857205390930176
-12.116273880004883,-1.6092325448989868
